hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
36FQTHX3Z4RBLT29Q8823TBWKQA3BD,mlXZQ8dO0nQ.002.mp4,9CPKW0sqR3E.002.mp4,LEFT,DON'T KNOW,RIGHT,DON'T KNOW,DON'T KNOW,DON'T KNOW
37J05LC5AYJFL42I7PRVEQGLJ88JDC,PxpbeM9VavA.003.mp4,6LKbPUX03sY.003.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
33NOQL7T9PZT4OBV83J1GSQARFO8ZG,2UxhlaDEPmI.000.mp4,3hKgh9AB3tk.000.mp4,LEFT,LEFT,RIGHT,LEFT,DON'T KNOW,RIGHT
31D0ZWOD0BZALRYK17QN6KTJZW6A0V,IveGfOJ86wY.003.mp4,2mgj9ncREyA.000.mp4,RIGHT,LEFT,LEFT,RIGHT,RIGHT,RIGHT
3PA41K45VO4VQ646BPTTBUS16WBP7P,JxxF9y61ujA.005.mp4,6zm71IHOCZA.003.mp4,LEFT,LEFT,LEFT,LEFT,RIGHT,LEFT
30ZKOOGW2X6ASGJ2XQUNKPCT4OCA1Y,VbiUhNAdzus.002.mp4,Bbx88iJwZ5Q.000.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
39HYCOOPKPL5MC83AM4NUI82N23MDJ,BSkTPW_Qsio.001.mp4,rMFJmA5dRFQ.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3X4Q1O9UBIMD56S5WPGEMUNBWRG7OR,do8FmnQbI5I.003.mp4,pQy4omHIf7o.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3VEI3XUCZSX58POLK3RZGBJ1785RPQ,-IK--4uz5ZY.002.mp4,yw-2AGeAjFc.000.mp4,RIGHT,RIGHT,LEFT,LEFT,RIGHT,RIGHT
3UDTAB6HH7ZWG8OF91CNAPIZTEN90E,hvGLlMhj7iE.002.mp4,p5QXPhJS8Ks.005.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3FJ2RVH25063CIRTOOG1TDBEQC829S,8AnIttmflwI.004.mp4,zupxsNi2er8.000.mp4,LEFT,LEFT,RIGHT,RIGHT,LEFT,LEFT
3MJ9GGZYO46HH11YGUU1P8MYWUQ2A7,IzsP0TRzFbo.001.mp4,noepjVnUVFY.000.mp4,LEFT,RIGHT,LEFT,LEFT,LEFT,LEFT
34ZTTGSNJYODJ7BXOBUU2C75PVUHQB,PKtzsEqLGx4.005.mp4,nKx64KH7Xks.001.mp4,RIGHT,RIGHT,LEFT,DON'T KNOW,LEFT,LEFT
3S37Y8CWI90ORSJOLD9H0CGN8RP4WG,cRg95950rAg.001.mp4,IFXaH_E54iA.005.mp4,RIGHT,RIGHT,DON'T KNOW,RIGHT,LEFT,RIGHT
32PT7WK7DNF40Q0T44Z8YJZWNBND3V,Jv2lyDcOmEM.003.mp4,hPguTv1Zvg8.002.mp4,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW
3LOJFQ4BOYFAWO80PAR7F5GYYX9KDD,xyOq5SL0Evc.002.mp4,x6Tluj4dJTU.003.mp4,RIGHT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
3IZPORCT1G9DV8QX1QJU72HALHWHRC,8toLcoDcGOY.003.mp4,FlAGm93fJa0.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
