hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
3TFJJUELSIP5AGYW08QSV3CMWN22CG,O3_j0d7mq7k.003.mp4,idsEawKW4X8.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,LEFT,RIGHT
3QTFNPMJC7IE7VYZE58KYPG5G0FNZR,bnoPmV0_aIc.002.mp4,8hGOOynn3ZU.000.mp4,LEFT,LEFT,RIGHT,RIGHT,LEFT,DON'T KNOW
3Z3R5YC0P4N6XRCJAP0P4W6FTD7FTW,W0Ay5uul8j0.002.mp4,6WSr4IW6cNI.002.mp4,LEFT,LEFT,LEFT,RIGHT,RIGHT,LEFT
338GLSUI44B5IRZ4LPVZURATRUTFS7,JTmq4k4uQCY.004.mp4,LWylAwr9kJI.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3ZFRE2BDQAEJJPC3GBVTWR73IEOZXM,Pb9GhzCRnqs.001.mp4,tomb22yfjTc.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3Q7TKIAPOUALGUQIAA38U5TDNN5LDO,tvKUJujTUEo.005.mp4,WUNXs4r_xCU.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3T6SSHJUZGA0Y4YYHL76TMHYYOJII9,F9mZ6De_6Ko.003.mp4,6wHQsN5g2RM.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3HXCEECSQNT8JU2DL7HVF5ECKKIZYS,EgolOPjkkg8.000.mp4,V7_h3URfSFY.005.mp4,LEFT,LEFT,RIGHT,RIGHT,LEFT,DON'T KNOW
30U1YOGZGBW8K7L8UJ096R78FHCSD8,YHpEi96AY9w.005.mp4,o7J2fWIJndQ.005.mp4,LEFT,LEFT,LEFT,LEFT,RIGHT,LEFT
388FBO7JZSTE25OUIJ61KI73A6BNY0,kV7MFI2_ddo.005.mp4,26ZnknvfdNM.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3UEBBGULPGOLX4R8AUQZ9SSHCREFUN,bcRPLKygrNk.001.mp4,3taD1fEPfC8.001.mp4,LEFT,LEFT,LEFT,DON'T KNOW,LEFT,LEFT
304QEQWKZQKZNVSLBQV57FDOO31O0F,vE9XgQL7DGE.001.mp4,x57nEfACdXA.000.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3SMIWMMK625N8QD30J0ZDGEH7U3UWZ,9KAqOrdiZ4I.002.mp4,Y-_JeJoCjUo.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3HEA4ZVWVEMCAS843H5IF49OOG755C,F5iykLTSCJc.002.mp4,XN5vpJU3ifw.004.mp4,LEFT,RIGHT,LEFT,LEFT,RIGHT,LEFT
3Y40HMYLL2I2XQITAOWLFZSOGW9UXS,LtTR6elruhU.000.mp4,F5kL7RWS_f0.004.mp4,RIGHT,RIGHT,RIGHT,LEFT,LEFT,LEFT
39TX062QX2OIYW5AV40KSQ2O3JPX3N,176vWywoq9E.004.mp4,2oiXF5_gTyk.001.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3X4Q1O9UBIMD56S5WPGEMUNBWH77OY,0zJcYnsh55g.003.mp4,Tr3A7WODEuM.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
391FPZIE4DM5B0IE5KEZCD4US6QHUM,DyZlhseSuec.003.mp4,12Ezy1y1cWY.001.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3KLL7H3EGE15OF7EAAO48Z6D6DZHVB,Vd9biSOZ5CI.001.mp4,OIRq4d8IyKc.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3I01FDIL6N8FF84A04L3F9U4HNE2DG,0ObEtA6Q8vU.001.mp4,_01AyUz9J9I.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3GMLHYZ0LFXRXV83FKINYDZXI23UYY,2TbU3Eg2i4A.003.mp4,zF46tAI2PQc.004.mp4,LEFT,RIGHT,RIGHT,LEFT,LEFT,RIGHT
37OPIVELUV3LWR4GZFX8CCS0L3ZAH4,Dhbva5oGE7g.004.mp4,pEYFpmjwKC0.000.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
39XCQ6V3KZ48TW8I80FN7ANOKBI56S,CFK8ib0aWe8.001.mp4,pT8nyxks1Q4.002.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
35YHTYFL1H3LAJG8FK045EU0QYNFVC,kUv0BJQmKq0.001.mp4,4VwcU0ROy5k.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
33IXYHIZB6IK7EIAWZWNLRCPHZF2E9,1Wh2mIFrGvk.000.mp4,e6YTvjDXEl0.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3BO3NEOQM1HLSMF05XFTCOTFLGEAIX,XQZ5M9oLkXw.003.mp4,nGe8dIc-ecc.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
34R3P23QHT1I347J0KT0U1PRDM1HWL,DTZeyoKUPx4.002.mp4,ZiKxJbVI5_g.002.mp4,RIGHT,LEFT,RIGHT,RIGHT,LEFT,RIGHT
3TKXBROM5UAWTFI4Z3S65NWYB38IJL,TOdvDQQWlCA.001.mp4,xZFZ0Mvjiuo.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3ZQA3IO31CRZUKD379Z5LKWYTV7O1I,d4cPiUXpGbc.005.mp4,_mtiuHyOFXg.001.mp4,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3A9LA2FRWTEXS4C9APPMWK3YMO7HXE,KpTHRBaYny8.005.mp4,Vyktsh14Kww.003.mp4,RIGHT,RIGHT,DON'T KNOW,RIGHT,RIGHT,RIGHT
3YLPJ8OXX9D3GSOEVI532VUUHJLX48,N7oR6_oMBFk.002.mp4,z3DO3tdrsnQ.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3PA41K45VO4VQ646BPTTBUS16M37PF,5xA8-Y5qgT0.002.mp4,HUJt0I1UKzo.000.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3LEG2HW4UGNCDSI6RAGT39XPT0U2FR,mpXOSY5dW7c.005.mp4,kUv0BJQmKq0.001.mp4,LEFT,LEFT,LEFT,LEFT,DON'T KNOW,LEFT
37PGLWGSJU6R4ZOMHOSI62WBQS8IKK,mLZw7Hf8AYI.004.mp4,Iqbg3CwVpXA.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,LEFT,RIGHT
3WJGKMRWVJ9SDQWCXXA9RM3QTERDC0,c3SQSM9OIsA.002.mp4,cxJ0u6r0-pU.003.mp4,LEFT,RIGHT,LEFT,LEFT,RIGHT,LEFT
3ZICQFRS32I8OKCIHTJETCNEQEMZZJ,lkdQjIunxSE.005.mp4,MDoZUDTSayc.003.mp4,LEFT,RIGHT,RIGHT,RIGHT,LEFT,DON'T KNOW
