hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
36GJS3V78WQIXOC99FS3KBJIW08JG6,NDC375coN1o.000.mp4,--Ymqszjv54.001.mp4,RIGHT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
3X2YVV51PV47ZTM5YVQF2E9KW7Z1WK,kN9cs2nFhM4.004.mp4,Gk94xrcmFts.004.mp4,LEFT,DON'T KNOW,LEFT,LEFT,LEFT,LEFT
39N6W9XWREN8SD78VFT6UYY694HGYX,r1v6EmZv7-o.004.mp4,kFak4VnRnRM.005.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3R5LWXWHR18JS8HYQJ74BKRX7YNGXR,2ceHmUmguzk.002.mp4,PoVizBmIHy0.000.mp4,DON'T KNOW,LEFT,LEFT,DON'T KNOW,DON'T KNOW,LEFT
3LB1BGHFL3WCXITEFFSDTHDVZYPTYJ,5hFRSHAis2E.001.mp4,qVrXROy4Ais.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3WKGUBL7S0M8GY7PHZ2FR1Z7AK54L7,g8rjtlzAQ6k.003.mp4,8AyIkT2Dg14.003.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
35ZRNT9RUJYV4NRIUDDO9DBVRPD3O1,mkWfG-4vvGc.003.mp4,FoWuHvikyqU.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3ROUCZ907GUKQCK4DBXGXG96MG9OOH,nZC82V87Pm0.004.mp4,b6eoqD1J_qU.003.mp4,RIGHT,LEFT,RIGHT,RIGHT,DON'T KNOW,RIGHT
34R3P23QHT1I347J0KT0U1PRDWUWHD,6SiutTvCDUw.000.mp4,L5PkZA1ErYY.000.mp4,RIGHT,RIGHT,DON'T KNOW,RIGHT,LEFT,RIGHT
3R4QIDVOJQCC2UUQPJRONSLEECXEEZ,Ah5PEPT4xbo.000.mp4,7LHmNEH65Pk.004.mp4,DON'T KNOW,RIGHT,DON'T KNOW,DON'T KNOW,DON'T KNOW,RIGHT
33KGGVH24VHMOTRV80M14XNR5951XD,L-C1blPD_ec.005.mp4,pDt0F4zFfBs.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3X2LT8FDHXIPAT6QXGZUHOWSAD48WA,DvmzcQI5cnM.005.mp4,ga_XczsO4eY.000.mp4,RIGHT,DON'T KNOW,LEFT,LEFT,DON'T KNOW,RIGHT
3LB1BGHFL3WCXITEFFSDTHDVZYOYTN,dLltwqkvsNg.000.mp4,hF3yR5rmga8.003.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3APP19WN72E69TX2PWYEB7EDAUO6GN,YyYDxAyV_Aw.003.mp4,nZz1hK90gwA.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3909MD9T20H488UMKUBU5A6EQDCEFH,4lj66h4CXI8.003.mp4,mkWfG-4vvGc.000.mp4,LEFT,LEFT,RIGHT,RIGHT,LEFT,LEFT
3R868ACW4TC8X3HDR1VP8578FYLGZO,e2EmGXRJ1K0.001.mp4,t30ERiF6b50.001.mp4,LEFT,RIGHT,LEFT,LEFT,LEFT,LEFT
3OZ4VAIBEYF1FL24YARPKCMSJFVVJ6,_Q4wOgixh7E.003.mp4,6NjuNY4LfQc.004.mp4,RIGHT,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,LEFT
3VP28W7DUOK2J3LIGHP7QK7WEJLZF8,MrYEK0nvnAo.005.mp4,6nbxAP_ZKQQ.000.mp4,DON'T KNOW,LEFT,LEFT,LEFT,LEFT,LEFT
3JU8CV4BRMC2BCW5SBAVMGEWWL5OPY,SRjhmQTPOmA.005.mp4,ODDGS0hTcUc.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
33QQ60S6ATIU00CI7C7E6L5D6ZHU0A,fL8VYpOTLSM.002.mp4,FvjIziLzffo.000.mp4,RIGHT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
33W1NHWFYILC283JB1UW7OMX5STTZA,hspeWl-Bip0.002.mp4,2AV8m02PjdU.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,LEFT,RIGHT
