hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
3QGTX7BCHQ2AH6STA5CY48GJPQ3Z5N,50gokPvvMs8.003.mp4,3hKgh9AB3tk.005.mp4,LEFT,DON'T KNOW,DON'T KNOW,RIGHT,DON'T KNOW,DON'T KNOW
39AYGO6AFGKCJLEOC0B91RNAB776NU,xrxAyO8pKUo.004.mp4,6WSr4IW6cNI.002.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3RBI0I35XF37Y1VK00MMB49X5093YB,AFvUxDwJB84.001.mp4,13XlKeC_p3U.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3OND0WXMHXFOM4LSFKZU8VIR6TMHEH,pEr7WTIPW64.000.mp4,sNs4yCA11wk.000.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
33QQ60S6ATIU00CI7C7E6L5D60DU08,jpRnHWTLDUs.005.mp4,qmiBcHJpKR0.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
335HHSX8CE5JUY7SJPOA2D066HLHDO,USO-o9dHJ3U.001.mp4,rGNeR3p1jKU.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3BA7SXOG1KQK2XP4YMPOUPOBIZLR8O,EgolOPjkkg8.001.mp4,OckL7z_nBGg.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
37VUR2VJ6BPYLVG0H4QEQK2H4SDC1K,oe1PZxExhzc.000.mp4,3pJZOCtAzYE.001.mp4,RIGHT,LEFT,LEFT,RIGHT,DON'T KNOW,LEFT
3QGHA0EA0K08CR4X0SJ48QMTIKLWBV,nKLhatlbqEw.004.mp4,pnY7YOgdl54.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3THR0FZ95QTCKRH70JHO5Z5CRC0LOV,AvuWv3LLmrA.000.mp4,zMXIf66PPhU.002.mp4,DON'T KNOW,RIGHT,RIGHT,RIGHT,DON'T KNOW,RIGHT
3O4VWC1GEX6H3C0LE0LJ1HU9SWZJ3W,S1AEj1kO5dc.002.mp4,oBE9f5xD9rk.005.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,LEFT
39WSF6KUV3LYEL7FJXUKS4FSIFZOEB,ssxo35zmKWQ.003.mp4,v5hZeuRW6m0.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3CKVGCS3PH5ELNKEI7CERKNPL3TS0R,f4rQJiW6oSk.005.mp4,V7_h3URfSFY.000.mp4,RIGHT,LEFT,RIGHT,LEFT,LEFT,LEFT
3XH7ZM9YX3UKG28E3EV2ULJM253R9D,xYXVkQOmSfk.004.mp4,vOEQlAMABWM.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3ZURAPD289N5O70A86GFYQNK1551FK,YPnuq0tDDqk.005.mp4,x0mD5kr2hu4.001.mp4,DON'T KNOW,DON'T KNOW,RIGHT,DON'T KNOW,RIGHT,RIGHT
3UEDKCTP9WQUFF7QYXOLFD62CNMK72,MLCIfM5jYlI.002.mp4,NG8qWulkRM4.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
32CAVSKPCFPU7PX03VBEKQONBSJU1B,VnUkBYQkJms.001.mp4,twmdh5zdvfg.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3JYPJ2TAYJ885ZJCT8R5ZM5I4LBPFC,RthpiC1KtSg.003.mp4,LtBYojIGYEc.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3VDVA3ILIEFB27W5JQMXGBNW2K51GJ,1mODTfLRGdI.002.mp4,RWhyKkFI3zw.001.mp4,LEFT,RIGHT,RIGHT,RIGHT,LEFT,RIGHT
34HEO7RUG7UYLLIJVK92QGU68NLRAS,4ZlcaXadwlo.003.mp4,qLV1a_611kA.003.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3CIS7GGG66JTRQRCFJ6TRA7H01OEUF,nB-fPmvZg3U.004.mp4,uwYQKM_STCw.005.mp4,RIGHT,RIGHT,LEFT,LEFT,LEFT,LEFT
3VCK0Q0PO6EH5AS9ABVSSQDJY4LN0A,Bo-mrL28d8M.004.mp4,opyTSeVCYtE.003.mp4,LEFT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
3TFJJUELSIP5AGYW08QSV3CMWYRC21,mEQBB6XsJFk.001.mp4,UtVo107m5lg.005.mp4,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW
39WICJI5AUS73R5PWMO5PBIZBUD3Z2,Gl93Hw1A2kY.000.mp4,u50B6bIkN9g.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
