hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
3Y3N5A7N4H98KN3U6IR173I35P5MYL,U-XrzfFzMkg.005.mp4,jKHaHWuaU14.003.mp4,LEFT,RIGHT,LEFT,LEFT,RIGHT,LEFT
30ZKOOGW2X6ASGJ2XQUNKPCT4N7A1R,9ZMIYSBYIh8.000.mp4,6-_1-vBNl_0.004.mp4,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
3D3B8GE893RZ4PSZQMRDPQJ71LVP9V,Wa-HX5jP3ew.001.mp4,E3z1D7CKoOA.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3K3IX1W4S7RD9824IS5DLLUR73DPAA,si_gZCrLa4A.004.mp4,geXpIfaFzF4.002.mp4,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW
3VGZ74AYTHGVPA63ZNBHX76N6FCGC0,EAMHqNxa9yY.001.mp4,vIW7gDmhYMk.001.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
3BFNCI9LYLQOJHZJDRWMYRP01ZG37M,oWDh03tstic.002.mp4,ODDGS0hTcUc.003.mp4,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
3WPCIUYH1B89Z7YNJJ5ZGW3UH9WDT6,ana5C73n9bY.000.mp4,OSDlyk5ZgAk.000.mp4,LEFT,DON'T KNOW,RIGHT,DON'T KNOW,LEFT,DON'T KNOW
3LOJFQ4BOYFAWO80PAR7F5GYYW4KD6,ZGox7tevC6A.004.mp4,0ObEtA6Q8vU.001.mp4,RIGHT,RIGHT,LEFT,LEFT,LEFT,LEFT
3EAWOID6MUXUDF1IC2HJ277WK52V0A,I53JQFtiQxM.003.mp4,AT9kY7tP710.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3P4C70TRMSHOSE09C04G0QWA0OQLGL,Qu81v9Aybv4.004.mp4,vCCRvatOFLA.002.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,RIGHT
31D0ZWOD0BZALRYK17QN6KTJZV1A0O,rvB9DYAKHpk.001.mp4,E_xAcdGpPCI.005.mp4,RIGHT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
3MJ9GGZYO46HH11YGUU1P8MYWTLA28,3taD1fEPfC8.001.mp4,qtB-CogljAo.004.mp4,RIGHT,LEFT,LEFT,RIGHT,RIGHT,RIGHT
3GVPRXWRPIU39KH2YU392XRPKHCI70,EknEAPhAjdA.004.mp4,w4cZStXMUII.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,LEFT,LEFT
3MZ3TAMYTMNDR31H781F7EIPLT7IR0,cRDYrvxRJ6U.000.mp4,XN5vpJU3ifw.003.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
36818Z1KV4D62JXHKU868IRQ27LA3J,9KAqOrdiZ4I.002.mp4,yyqXzlF8Fgc.003.mp4,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW
