hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
3V0TR1NRVB2RKFGLK8DPINJWG72A4P,KmHe8urs3LI.003.mp4,zMXfMcqpPwQ.001.mp4,LEFT,RIGHT,RIGHT,LEFT,LEFT,LEFT
3B0MCRZMBSUKWC867BNABGJM6PYPPB,B3VQeeev0r0.003.mp4,GWOtluILlk4.005.mp4,LEFT,RIGHT,RIGHT,LEFT,RIGHT,RIGHT
3M4KL7H8KWN95E7Z7DDB4KA784361J,y4Ej1YSEQf0.000.mp4,ncmnmmmWEpU.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3J9UN9O9J4SLMK1OVD30ZJW2PIH0JG,Jy716zClCKs.004.mp4,2hhqEWiv4eI.000.mp4,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW
3JVP4ZJHDQSPR9HIDVI0NIH2C3S0I4,eB6ZlBG6OeA.002.mp4,cxJ0u6r0-pU.002.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
3LOJFQ4BOYFAWO80PAR7F5GYYWPKDR,PSFLaQYVg1I.000.mp4,OiDyfO2zB7s.005.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,RIGHT
3W31J70BATW0RW2MPEWWVZYGDWDKCR,9QGTbcqb2tM.002.mp4,83cmR2fkyy8.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
38O9DZ0A63NGUZPVQHDP93KC0AH620,VuadgOz6T7s.004.mp4,XT4rTk6-Etc.003.mp4,RIGHT,LEFT,LEFT,LEFT,RIGHT,LEFT
3SD15I2WD3U5FHLEUHRUSDP46OH368,G7hYffrZ1Hc.005.mp4,txU8yE9d-4k.005.mp4,DON'T KNOW,DON'T KNOW,LEFT,RIGHT,RIGHT,RIGHT
31JUPBOORO49ZZURT2SS8DFCC5Y8LD,C0UMWrEJ2x0.005.mp4,NXG4n1pr4Ok.004.mp4,LEFT,LEFT,DON'T KNOW,LEFT,DON'T KNOW,LEFT
3NSCTNUR20N9GYKLYDWZNFPAG3XA5U,EAMHqNxa9yY.001.mp4,mEQBB6XsJFk.005.mp4,RIGHT,RIGHT,DON'T KNOW,RIGHT,DON'T KNOW,RIGHT
3XEDXEGFX4OGX476DY3C0YWF47H0KF,1fsFL_qNYlQ.001.mp4,4OKYywIqnqg.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3G57RS03HI5KBVPHLY3KHX6C4F552I,9QOFKbaPX3M.002.mp4,MLCIfM5jYlI.002.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3ZG552ORAN419P4WRPLXLV0BH37V2F,PWM-bKcs2p8.000.mp4,n4NkVZ1_dfk.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3SD15I2WD3U5FHLEUHRUSDP46OH63B,dkhnv1EBvKI.004.mp4,pJGLxS81YBc.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3KTZHH2ONJFT5HCCTET78QU1CAO8MF,4V7doeEKsus.002.mp4,ua5c716lu5s.001.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
30UZJB2POIC9WDL0PYHP07B4AT553T,gngqDNTAXnI.001.mp4,taSAaWKcmTw.001.mp4,LEFT,RIGHT,RIGHT,RIGHT,LEFT,LEFT
3WGZLY9VCIMQ1N6ZGLU4P0773WVD81,l1V-DuJ-WgU.004.mp4,_mtiuHyOFXg.001.mp4,DON'T KNOW,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3UV0D2KX1NJMG6XTVOZHWOUNDNFF47,ioaBnmfoHgo.005.mp4,sqnW6xXYTKg.005.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3FBEFUUYRL55Z2KZ3W64FL3ACY8A6A,2HE6cw3HFPk.000.mp4,2Fgn78rYjPM.005.mp4,DON'T KNOW,RIGHT,LEFT,DON'T KNOW,DON'T KNOW,LEFT
3TX9T2ZCBA14UP7D66Z7U8TW9L7ZW0,ZCLfVue6xAg.005.mp4,c3SQSM9OIsA.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
32XN26MTX0JRHAPOYYFDFY9UT7M0LI,NI-tZF3gfes.002.mp4,cpzY1b6wJqs.001.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3HEM8MA6HAC5WO9L7O2ZBL9WBLKPQ2,Wx_oe0SxD9w.003.mp4,aaylz9A9K80.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3NOEP8XAU52P5LAXT2XR5T5P8O7XP7,LBKbubsgpE8.000.mp4,r93dLeVRk3U.002.mp4,DON'T KNOW,DON'T KNOW,RIGHT,RIGHT,RIGHT,RIGHT
3L60IFZKF4I06ECU5L70TYF4Y7EHHT,1pm5uoU85FI.000.mp4,simc6hmrUOE.005.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
