hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
39O0SQZVJO7G2JKLOHXIGPSG7CKR70,NkFJuN8fBDU.000.mp4,LGgx7RVdL2Y.005.mp4,RIGHT,DON'T KNOW,LEFT,RIGHT,LEFT,DON'T KNOW
3P4C70TRMSHOSE09C04G0QWA0NDLG6,kAjvzIWWrWA.003.mp4,HX-3jJdK7HM.005.mp4,DON'T KNOW,LEFT,LEFT,RIGHT,RIGHT,DON'T KNOW
3QMELQS6Y6BXYJ6G57SQABSKC10R61,sPMNhG1Sehc.005.mp4,fiEEjrKhlNU.001.mp4,DON'T KNOW,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
3H781YYV6UIERDCNFEGJMELFHKLETM,QXFRE_pjrAE.000.mp4,HONL8ha-1BE.004.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3L7SUC0TTVUBNS79YAGSFBOJTBFM07,IveGfOJ86wY.001.mp4,okSmKH2k5lE.002.mp4,LEFT,LEFT,RIGHT,LEFT,LEFT,LEFT
33TGB4G0LQHNXD34AJ6BA36MXQWTXA,iJGHwoJKEpA.002.mp4,IHJn3UHXCMs.004.mp4,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW,DON'T KNOW
3GMLHYZ0LFXRXV83FKINYDZXIAWYUB,Ie2y_yOeKpo.000.mp4,8ZHpqRJ39HA.005.mp4,LEFT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
3TZDZ3Y0JT6WNX9X5KGNOU19Y4E19Q,OwI3Q-qUqDw.002.mp4,vOEQlAMABWM.003.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3MDWE879UI2X0VRP7H9CU6EIKG59BH,fhUGU2uiS1U.004.mp4,osqQpQsJNPQ.004.mp4,LEFT,LEFT,LEFT,LEFT,RIGHT,LEFT
3BKZLF9900ZZ521MYBYIOC28FPQQYY,OgPC4wnLJR0.003.mp4,hIxLNK_x_QA.004.mp4,LEFT,DON'T KNOW,RIGHT,RIGHT,LEFT,DON'T KNOW
