hit_id,videoLeft,videoRight,friendly,authentic,organized,comfortable,imaginative,interview
32L724R85MKSFQL2UGXQ2JIAKAMPIG,Bije9nsMl7M.000.mp4,YXz6s1XNOLs.000.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
31KSVEGZ35SVSYLMWP5U85RX038RWH,_7hGh6VU4IU.001.mp4,5Wmlo8Z5yVA.003.mp4,RIGHT,RIGHT,LEFT,DON'T KNOW,DON'T KNOW,RIGHT
3H1C3QRA02JX5WACTSLTX4LBTY1CEH,MlBwEhjftAw.004.mp4,oe1PZxExhzc.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
36JW4WBR07KGSILOAVJ0QD3RIRKHFC,RZgTERiRDjA.002.mp4,z1q3ktuRdII.005.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3UV0D2KX1NJMG6XTVOZHWOUNDMZ4FE,P0a209IS614.003.mp4,rGNeR3p1jKU.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
391FPZIE4DM5B0IE5KEZCD4USE0HUC,h6LOjpCRXtY.000.mp4,dOFnHXRLEdM.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3IQ9O0AYW7ZQ7IE9BX6A7TJ79D7TIP,XN5vpJU3ifw.005.mp4,txU8yE9d-4k.002.mp4,DON'T KNOW,RIGHT,LEFT,DON'T KNOW,RIGHT,RIGHT
3EQVJH0T41LQBN3P5FOP7HIS90THTL,Q0C0OU-j4DA.000.mp4,KYkfjIZEScM.004.mp4,LEFT,LEFT,RIGHT,RIGHT,LEFT,LEFT
3HUR21WDDVPJEZ2YKPTAIKY1CSTYXJ,A0braVJH3Pw.002.mp4,8g5jPiQ6XdA.003.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3I4E7AFQ2LZM2TYFTFRAJUY7MSWTJ1,kSk-rf7a1Ig.005.mp4,bnoPmV0_aIc.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,DON'T KNOW,RIGHT
3W9XHF7WGLVHDD4XB0RMK9YK1HWTK0,ZeGT9pSG734.002.mp4,AobPtpyKat8.001.mp4,DON'T KNOW,DON'T KNOW,RIGHT,RIGHT,DON'T KNOW,RIGHT
307FVKVSYSF91DIND5158WH6FYG74D,KHQJhOzdrYo.001.mp4,xRhUBifOWiI.005.mp4,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3NCN4N1H1HHIPXVJ8RSHC792P51BNX,gggp205gPMI.001.mp4,knpgk7LAMb0.002.mp4,RIGHT,RIGHT,LEFT,DON'T KNOW,RIGHT,RIGHT
3J9L0X0VDGMPOYP02858HKR3UH2W9Z,mIcktEhNxRo.003.mp4,NYlFsljF0VM.005.mp4,LEFT,RIGHT,DON'T KNOW,RIGHT,RIGHT,RIGHT
3S4TINXCC1N07IVV96SURW97FF6BOC,OwI3Q-qUqDw.003.mp4,DvWzedL3QCk.002.mp4,LEFT,LEFT,LEFT,RIGHT,LEFT,LEFT
3SZYX62S5H0RXWMNRAKFDONKFUB75I,8ZHpqRJ39HA.004.mp4,tCnfvBwWVKw.002.mp4,RIGHT,LEFT,LEFT,RIGHT,RIGHT,RIGHT
3QX22DUVOPHRGT8P174H04E9N77MVE,voXr6-ykd1w.002.mp4,4bDOetaLvZs.005.mp4,LEFT,RIGHT,LEFT,LEFT,LEFT,LEFT
3ZCC2DXSD848E4S8PLFC1Y5AEYNYYP,0RLFM1ehSFM.000.mp4,2WuhWF4fAOQ.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3KI0JD2ZU2ING0M1WTUK5U1KBPM76Y,ana5C73n9bY.000.mp4,nvlqJbHk_Lc.001.mp4,DON'T KNOW,LEFT,LEFT,RIGHT,RIGHT,DON'T KNOW
3Q9SPIIRWKM3THZ5UEJ8DF2N0ZKWAE,F5kL7RWS_f0.005.mp4,rag7X1kTyBc.000.mp4,RIGHT,LEFT,LEFT,LEFT,RIGHT,LEFT
3QGHA0EA0K08CR4X0SJ48QMTIH5WB9,gChqk1izWkc.001.mp4,G_VQne_BXWE.002.mp4,LEFT,LEFT,DON'T KNOW,LEFT,DON'T KNOW,LEFT
3UV0D2KX1NJMG6XTVOZHWOUNDMZF4P,tvKUJujTUEo.002.mp4,A7qb47cmxJo.003.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3CO05SML7W52K8K13IC91AITZYT0RO,0LqfKzp11kg.000.mp4,1mfrM-FT-5E.000.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
3KA7IJSNW75ISI7WO659GWEXPK2BPT,JBiq9X_-r84.005.mp4,evQsOFQju08.000.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3W5PY7V3UQ7IJFX93LE9RBQM1UEJYG,Gl93Hw1A2kY.002.mp4,TwWDFpN3occ.002.mp4,RIGHT,RIGHT,LEFT,RIGHT,RIGHT,RIGHT
3MNJFORX8C44CP1T9TIR1G01DIUF5U,shAhNNV-zHA.000.mp4,vo-Y5kgSBa8.003.mp4,LEFT,LEFT,LEFT,RIGHT,LEFT,LEFT
3EQPA8A375WIO57EZ7GS5IZO7OIJZ7,8aPfoJiDeBY.004.mp4,Z6vQQvro86Y.000.mp4,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT
3KLL7H3EGE15OF7EAAO48Z6D6L9HV1,UQeuBvZNusI.001.mp4,kL-CeaXG9jM.002.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3QO7EE372PN3SU8BOJKYG147UGOBQK,Y6iogSmj6FQ.002.mp4,dDi6vy-OZRg.003.mp4,RIGHT,LEFT,RIGHT,RIGHT,DON'T KNOW,RIGHT
3E6L1VR4XXM0VT17ECSWTME19D5F6A,5f6s8cwA7WQ.001.mp4,ixPqs7L8oAE.001.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
372AGES0I55AHYQC6U1GAO5495ERXA,yftfxiDNXko.003.mp4,VIKk25Ozx40.001.mp4,LEFT,RIGHT,RIGHT,RIGHT,LEFT,RIGHT
3ZXV7Q5FJCOPBAA8O35ZFM6B5ZGCFZ,voSLxKtKr0Q.005.mp4,_fJcW5234bY.004.mp4,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
3QE4DGPGBSBSU6TO685ZE9UZE1Z4GD,Gg4OMtVe7lk.001.mp4,OhHg1lyxe4I.002.mp4,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,DON'T KNOW
3QREJ3J434XTU0WS2RPVYIO374BKLP,P2T93mqAsWk.000.mp4,ZNymNgd5EuQ.003.mp4,RIGHT,LEFT,LEFT,LEFT,RIGHT,LEFT
